"change_diff_eb","site","date","nl"
0,"Deans",2022-08-16,1
0.00139530193100183,"Deans",2022-08-16,1
0.0568722876823323,"Deans",2022-08-16,1
0.0143661329840351,"Deans",2022-08-16,1
0.0123420149116786,"Deans",2022-08-16,1
0.00947012279053832,"Deans",2022-08-16,1
0.0175795082572271,"Deans",2022-08-16,1
0.0552400193141879,"Deans",2022-08-16,1
0.010908509709808,"Deans",2022-08-16,1
0.00909706822300537,"Deans",2022-08-16,1
0.236883616891758,"Deans",2022-08-16,1
0.016758034503721,"Deans",2022-08-16,1
0.0623713680077544,"Deans",2022-08-16,1
0.00361429854162319,"Deans",2022-08-16,1
0.0278877768194275,"Deans",2022-08-16,1
0.00011239556903273,"Deans",2022-08-16,1
0.0255222195740416,"Deans",2022-08-16,1
0.0150752791757479,"Deans",2022-08-16,1
0.265364385847662,"Deans",2022-08-16,1
0.00607867776024395,"Deans",2022-08-16,1
0.0115159926473229,"Deans",2022-08-16,1
0.0209075843264943,"Deans",2022-08-16,1
0.0114678332719307,"Deans",2022-08-16,1
0.0294172329728347,"Deans",2022-08-16,1
0.00305049392521654,"Deans",2022-08-16,1
0.0176453809098388,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.0129096272284937,"Deans",2022-08-16,1
0.0244150979486612,"Deans",2022-08-16,1
0.0146819242431165,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.0061851475063951,"Deans",2022-08-16,1
0.00701351799456342,"Deans",2022-08-16,1
0.0214731500340511,"Deans",2022-08-16,1
0.00139530193100183,"Deans",2022-08-16,1
0.00915091407031712,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.01023628932111,"Deans",2022-08-16,1
0.0271563139602716,"Deans",2022-08-16,1
0.0121838949680955,"Deans",2022-08-16,1
0.00888764423151167,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.0167453281234189,"Deans",2022-08-16,1
0.0239824379726649,"Deans",2022-08-16,1
0.00139530193100183,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.00722172863635209,"Deans",2022-08-16,1
0.0568206195402091,"Deans",2022-08-16,1
0.0326222559745576,"Deans",2022-08-16,1
0.037007360978534,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.00776377836735027,"Deans",2022-08-16,1
0.182383693766094,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.0184625424000721,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.00787287869360452,"Deans",2022-08-16,1
0.0317055743680516,"Deans",2022-08-16,1
0.0231365372191176,"Deans",2022-08-16,1
0.0325591282220507,"Deans",2022-08-16,1
0.0201651940813123,"Deans",2022-08-16,1
0.0881473383301206,"Deans",2022-08-16,1
0.0278877768194275,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.00435558610442103,"Deans",2022-08-16,1
0.0968180530712187,"Deans",2022-08-16,1
0.0265934795075448,"Deans",2022-08-16,1
0.00824506594094556,"Deans",2022-08-16,1
0.0238049174087448,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.0438019649174983,"Deans",2022-08-16,1
0.00011239556903273,"Deans",2022-08-16,1
0.0727788659301497,"Deans",2022-08-16,1
0.0245073075891888,"Deans",2022-08-16,1
0.00893806113131182,"Deans",2022-08-16,1
0.00500273558462471,"Deans",2022-08-16,1
0.0193928286118749,"Deans",2022-08-16,1
0.0149190194520814,"Deans",2022-08-16,1
0.0886065515349197,"Deans",2022-08-16,1
0.0154278715829477,"Deans",2022-08-16,1
0.00818218817775599,"Deans",2022-08-16,1
0.0206250575615199,"Deans",2022-08-16,1
0.0047831810283245,"Deans",2022-08-16,1
0.00674706891261061,"Deans",2022-08-16,1
0.0172047536915876,"Deans",2022-08-16,1
0.0152419753686147,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.00128700508114278,"Deans",2022-08-16,1
0.0212043920505211,"Deans",2022-08-16,1
0.0916517392971921,"Deans",2022-08-16,1
0.0337377511965155,"Deans",2022-08-16,1
0.00465280414992308,"Deans",2022-08-16,1
0.00465280414992308,"Deans",2022-08-16,1
0.00416781239482104,"Deans",2022-08-16,1
0.0228314285289871,"Deans",2022-08-16,1
0,"Deans",2022-08-16,1
0.0259864581028892,"Deans",2022-08-16,1
0.0113402441066256,"Deans",2022-08-16,2
0.00242099528381929,"Deans",2022-08-16,2
0,"Deans",2022-08-16,2
0.00659056923265182,"Deans",2022-08-16,2
0.0104584908006498,"Deans",2022-08-16,2
0.00951486986152683,"Deans",2022-08-16,2
0.0279621704172731,"Deans",2022-08-16,2
0.104036723975613,"Deans",2022-08-16,2
0.0273311755623957,"Deans",2022-08-16,2
0.0376999127775498,"Deans",2022-08-16,2
0,"Deans",2022-08-16,2
0.0120024368956717,"Deans",2022-08-16,2
0.00577118105453138,"Deans",2022-08-16,2
0.0104034024480804,"Deans",2022-08-16,2
0.0187661827830284,"Deans",2022-08-16,2
0.010411093381557,"Deans",2022-08-16,2
0.00305547720661105,"Deans",2022-08-16,2
0.0203228547792457,"Deans",2022-08-16,2
0.00300001360849407,"Deans",2022-08-16,2
0.0230190844256888,"Deans",2022-08-16,2
0.00923810863092635,"Deans",2022-08-16,2
0.00577303711553005,"Deans",2022-08-16,2
0.00977232661682761,"Deans",2022-08-16,2
0.0218677902233015,"Deans",2022-08-16,2
0.0110558368626517,"Deans",2022-08-16,2
0.0373785876767149,"Deans",2022-08-16,2
0.0160663879410196,"Deans",2022-08-16,2
0.0114850983109886,"Deans",2022-08-16,2
0.0174894651321601,"Deans",2022-08-16,2
0.095918592832172,"Deans",2022-08-16,2
